monthly_food,monthly_transportation,monthly_liabilities,monthly_electric_bill,monthly_water_bill,monthly_income,total_expense,financial_health_score
2656.5,1242.5,1335.5,780.2,816.0,16077.1,6830.7,8.10176380360886
2849.8,1031.9,1193.9,1373.0,1242.0,15044.4,7690.6,6.913688464996942
2344.0,1838.8,3584.8,1396.0,1205.6,10020.4,10369.2,3.6387973433395864
2658.6,680.8,4914.7,524.6,1363.3,19562.0,10141.999999999998,7.3950655100705465
2712.6,713.0,1540.6,871.7,541.1,15598.1,6379.0,8.329844716215437
3821.8,1170.4,4727.2,1180.2,1490.3,20458.6,12389.900000000001,5.743707862346396
3046.1,1184.0,4809.4,1408.9,321.3,17889.8,10769.699999999999,6.891915316750326
1182.4,1898.5,3406.1,515.5,1157.9,29851.8,8160.4,8.88971180594805
4518.5,1847.7,2816.5,1368.9,494.1,11654.7,11045.7,4.043195877113954
2185.9,1552.8,3087.8,562.2,732.0,29962.8,8120.7,8.925190820857864
4171.9,1045.3,2063.3,1767.2,980.0,22557.2,10027.7,6.842574350814817
3339.1,771.7,1619.7,702.8,1225.1,28017.4,7658.4,8.563193475254662
2348.2,777.4,3291.9,1536.5,622.7,17816.5,8576.7,7.523584924289283
3531.6,1460.7,1494.3,1611.3,556.5,23772.9,8654.400000000001,7.84179186714284
1907.1,736.9,1232.9,1098.6,1004.9,28885.0,5980.4,9.043630415620566
2408.9,902.1,2947.3,1513.5,1258.4,22601.8,9030.2,7.559002113070639
3665.0,1127.4,1571.5,1521.1,1090.2,10097.3,8975.2,4.151324737504085
2362.0,870.2,3116.3,995.4,1238.7,12856.0,8582.6,6.475957469166149
3772.7,1116.5,4196.5,1490.4,323.5,16230.5,10899.6,6.20228804140353
3299.9,1072.5,3324.9,706.5,326.2,16029.2,8730.0,7.7578999351184095
2169.7,913.8,2547.0,1779.4,1362.8,10510.8,8772.699999999999,4.580686859801348
3258.9,783.1,3222.1,736.0,590.1,15810.8,8590.2,7.589221775141043
3906.9,561.4,2593.5,654.4,1315.2,15203.5,9031.4,6.629188185878253
3294.8,1680.4,1438.3,608.7,1441.2,18471.1,8463.400000000001,7.401605018239303
1580.3,590.4,4128.9,1045.7,643.3,26165.3,7988.599999999999,8.782073199114858
3265.4,1116.4,1601.0,1149.4,1328.3,24279.7,8460.5,7.860878314188396
